,date,price
0,1690722300000,1959.2
1,1690725900000,1959.2
2,1690729500000,1959.2
3,1690733100000,1959.2
4,1690736700000,1959.2
5,1690740300000,1959.2
6,1690743000000,1959.2
7,1690743300000,1959.32
8,1690743900000,1959.26
9,1690744200000,1959.35
10,1690744500000,1959.35
11,1690744800000,1959.35
12,1690745100000,1959.35
13,1690745400000,1959.35
14,1690745700000,1959.35
15,1690746000000,1959.35
16,1690746300000,1959.35
17,1690746600000,1959.33
18,1690746900000,1959.35
19,1690747200000,1959.32
20,1690747500000,1959.34
21,1690747800000,1959.35
22,1690748100000,1959.35
23,1690748400000,1959.35
24,1690748700000,1959.35
25,1690749000000,1959.35
26,1690749300000,1959.35
27,1690749600000,1959.35
28,1690749900000,1959.35
29,1690750200000,1959.35
30,1690750500000,1959.35
31,1690750800000,1959.35
32,1690751100000,1959.35
33,1690751400000,1959.35
34,1690751700000,1959.35
35,1690752000000,1959.35
36,1690752300000,1959.35
37,1690752600000,1959.35
38,1690752900000,1959.35
39,1690753200000,1959.35
40,1690753500000,1959.35
41,1690753800000,1959.88
42,1690754100000,1962.0
43,1690754400000,1962.0
44,1690754700000,1961.13
45,1690755000000,1959.8
46,1690755300000,1959.99
47,1690755600000,1959.79
48,1690755900000,1960.05
49,1690756200000,1960.22
50,1690756500000,1960.29
51,1690756800000,1960.41
52,1690757100000,1960.15
53,1690757400000,1960.35
54,1690757700000,1960.19
55,1690758000000,1960.27
56,1690758300000,1959.31
57,1690758600000,1957.92
58,1690758900000,1958.2
59,1690759200000,1958.71
60,1690759500000,1958.65
61,1690759800000,1958.86
62,1690760100000,1958.88
63,1690760400000,1958.94
64,1690760700000,1958.96
65,1690761000000,1958.98
66,1690761300000,1958.47
67,1690761600000,1958.45
68,1690761900000,1957.93
69,1690762200000,1957.87
70,1690762500000,1958.25
71,1690762800000,1958.55
72,1690763100000,1958.46
73,1690763400000,1958.32
74,1690763700000,1957.6
75,1690764000000,1957.28
76,1690764300000,1957.4
77,1690764600000,1957.18
78,1690764900000,1956.9
79,1690765200000,1957.31
80,1690765500000,1958.03
81,1690765800000,1956.62
82,1690766100000,1956.06
83,1690766400000,1957.15
84,1690766700000,1958.07
85,1690767000000,1958.31
86,1690767300000,1957.39
87,1690767600000,1957.33
88,1690767900000,1956.98
89,1690768200000,1956.83
90,1690768500000,1956.89
91,1690768800000,1957.01
92,1690769100000,1956.76
93,1690769400000,1957.51
94,1690769700000,1957.94
95,1690770000000,1958.06
96,1690770300000,1958.02
97,1690770600000,1957.55
98,1690770900000,1957.3
99,1690771200000,1957.23
100,1690771500000,1957.28
101,1690771800000,1957.21
102,1690772100000,1956.46
103,1690772400000,1956.58
104,1690772700000,1956.62
105,1690773000000,1956.56
106,1690773300000,1957.04
107,1690773600000,1957.1
108,1690773900000,1957.29
109,1690774200000,1957.24
110,1690774500000,1957.12
111,1690774800000,1956.75
112,1690775100000,1956.02
113,1690775400000,1955.22
114,1690775700000,1954.39
115,1690776000000,1954.1
116,1690776300000,1954.44
117,1690776600000,1953.87
118,1690776900000,1953.96
119,1690777200000,1953.97
120,1690777500000,1953.79
121,1690777800000,1953.82
122,1690778100000,1954.56
123,1690778400000,1954.47
124,1690778700000,1954.82
125,1690779000000,1954.77
126,1690779300000,1955.09
127,1690779600000,1954.94
128,1690779900000,1954.54
129,1690780200000,1953.99
130,1690780500000,1953.76
131,1690780800000,1954.06
132,1690781100000,1954.22
133,1690781400000,1954.23
134,1690781700000,1954.04
135,1690782000000,1954.14
136,1690782300000,1953.8
137,1690782600000,1954.07
138,1690782900000,1954.72
139,1690783200000,1954.77
140,1690783500000,1954.81
141,1690783800000,1954.6
142,1690784100000,1954.91
143,1690784400000,1955.44
144,1690784700000,1956.68
145,1690785000000,1956.81
146,1690785300000,1956.35
147,1690785600000,1956.68
148,1690785900000,1956.51
149,1690786200000,1956.04
150,1690786500000,1955.26
151,1690786800000,1954.17
152,1690787100000,1954.38
153,1690787400000,1954.88
154,1690787700000,1955.17
155,1690788000000,1955.55
156,1690788300000,1955.53
157,1690788600000,1955.85
158,1690788900000,1955.37
159,1690789200000,1955.27
160,1690789500000,1954.64
161,1690789800000,1954.34
162,1690790100000,1954.39
163,1690790400000,1954.62
164,1690790700000,1954.9
165,1690791000000,1955.53
166,1690791300000,1955.43
167,1690791600000,1955.33
168,1690791900000,1954.86
169,1690792200000,1954.19
170,1690792500000,1954.39
171,1690792800000,1954.32
172,1690793100000,1953.98
173,1690793400000,1953.88
174,1690793700000,1953.51
175,1690794000000,1953.36
176,1690794300000,1953.69
177,1690794600000,1954.05
178,1690794900000,1954.58
179,1690795200000,1954.05
180,1690795500000,1954.13
181,1690795800000,1954.83
182,1690796100000,1955.59
183,1690796400000,1955.84
184,1690796700000,1956.43
185,1690797000000,1956.85
186,1690797300000,1956.77
187,1690797600000,1956.69
188,1690797900000,1956.81
189,1690798200000,1956.9
190,1690798500000,1957.05
191,1690798800000,1957.55
192,1690799100000,1957.83
193,1690799400000,1957.63
194,1690799700000,1957.3
195,1690800000000,1956.81
196,1690800300000,1956.78
197,1690800600000,1956.79
198,1690800900000,1957.12
199,1690801200000,1957.58
200,1690801500000,1958.32
201,1690801800000,1958.52
202,1690802100000,1958.89
203,1690802400000,1959.39
204,1690802700000,1959.65
205,1690803000000,1959.4
206,1690803300000,1960.34
207,1690803600000,1960.15
208,1690803900000,1960.1
209,1690804200000,1959.31
210,1690804500000,1958.88
211,1690804800000,1959.15
212,1690805100000,1958.72
213,1690805400000,1958.4
214,1690805700000,1958.1
215,1690806000000,1958.44
216,1690806300000,1959.06
217,1690806600000,1960.56
218,1690806900000,1963.03
219,1690807200000,1964.23
220,1690807500000,1964.88
221,1690807800000,1964.44
222,1690808100000,1965.53
